grad,kvadrata,sprat,broj_soba,vrsta_grijanja,lift,parking,novogradnja,namjesten,cijena
Sarajevo - Novo Sarajevo,63,6,3,struja,1,1,0,2,259000
Sarajevo - Novi Grad,56,4,2,centralno,0,1,0,2,230000
Sarajevo - Novi Grad,78,6,3,centralno,1,1,0,2,320000
Sarajevo - Novi Grad,39,1,2,centralno,0,1,0,1,160000
Sarajevo - Novo Sarajevo,50,8,2,centralno,1,0,0,0,205000
Sarajevo - Novi Grad,78,6,3,centralno,1,1,0,2,319000
Sarajevo - Novo Sarajevo,67,2,2,centralno,1,1,0,1,274000
Sarajevo - Novo Sarajevo,90,visoko,četverosoban,centralno,0,1,0,2,368000
Sarajevo - Novo Sarajevo,90,1,četverosoban,centralno,0,1,0,2,368000
Sarajevo - Centar,49,1,1,plin,0,1,0,0,200000
Sarajevo - Novi Grad,39,visoko,1,plin,0,1,0,2,159000
Sarajevo - Centar,67,2,3,centralno,0,1,0,1,273000
Sarajevo - Novo Sarajevo,54,4,2,centralno,0,1,0,2,220000
Sarajevo - Centar,86,5,2,struja,1,1,0,1,350000
Sarajevo - Stari Grad,86,5,2,struja,0,1,0,2,349999
Sarajevo - Centar,76,prizemlje,3,centralno,0,1,0,0,309000
Sarajevo - Novi Grad,64,5,3,struja,1,1,0,0,260000
Sarajevo - Novo Sarajevo,48,visoko,2,centralno,0,1,0,2,195000
Sarajevo - Centar,66,2,3,plin,0,1,0,0,268000
Sarajevo - Centar,62,1,3,centralno,0,1,1,0,251680
Sarajevo - Novo Sarajevo,53,2,2,plin,0,1,0,1,215000
Sarajevo - Novo Sarajevo,74,1,3,plin,1,0,0,2,300000
Sarajevo - Centar,79,visoko,3,struja,0,1,1,0,320000
Sarajevo - Centar,79,2,3,centralno,0,1,1,0,320000
Sarajevo - Novo Sarajevo,91,5,četverosoban,centralno,1,0,0,0,368000
Sarajevo - Centar,94,1,2,plin,0,1,0,2,380000
Sarajevo - Novo Sarajevo,52,4,2,centralno,0,0,0,1,210000
Sarajevo - Novo Sarajevo,52,7,2,centralno,1,1,0,2,210000
Sarajevo - Stari Grad,52,1,2,centralno,0,1,0,1,210000
Sarajevo - Novi Grad,57,5,2,centralno,0,0,0,2,230000
Ilidža,42,4,2,plin,0,0,1,0,169440
Ilidža,54,3,3,plin,1,0,1,0,217800
Sarajevo - Centar,62,5,2,struja,0,1,0,2,250000
Sarajevo - Novo Sarajevo,67,2,3,centralno,0,1,0,0,270000
Sarajevo - Novo Sarajevo,72,11,3,centralno,1,1,0,2,290000
Ilidža,67,1,četverosoban,plin,1,1,1,0,269560
Sarajevo - Novo Sarajevo,52,1,2,centralno,0,1,1,0,209000
Sarajevo - Novo Sarajevo,56,9,2,centralno,1,0,0,2,225000
Sarajevo - Centar,62,2,3,centralno,0,1,0,0,249000
Sarajevo - Stari Grad,66,4,3,plin,0,0,0,1,265000
Sarajevo - Centar,72,4,2,plin,0,0,0,1,289000
Sarajevo - Centar,72,2,3,plin,0,0,0,1,289000
Sarajevo - Centar,77,prizemlje,3,centralno,0,1,0,0,309000
Sarajevo - Stari Grad,86,2,3,plin,0,1,0,0,345000
Sarajevo - Centar,95,2,četverosoban,centralno,0,1,0,2,380000
Sarajevo - Centar,83,4,četverosoban,plin,0,1,0,2,332000
Sarajevo - Novo Sarajevo,82,1,3,centralno,0,0,0,2,328000
Sarajevo - Novi Grad,80,6,četverosoban,centralno,1,1,0,2,320000
Sarajevo - Centar,80,visoko,četverosoban,plin,0,1,0,2,320000
Sarajevo - Novi Grad,80,6,četverosoban,centralno,1,1,0,2,320000
Sarajevo - Novi Grad,76,3,3,centralno,1,0,0,2,304000
Sarajevo - Centar,75,2,3,centralno,0,1,0,2,300000
Sarajevo - Centar,74,7,3,centralno,1,1,0,2,296000
Sarajevo - Novi Grad,60.69,1,2,plin,1,0,1,0,242760
Sarajevo - Centar,60,2,3,ostalo,0,0,0,1,240000
Sarajevo - Novi Grad,55,1,2,struja,1,1,0,0,220000
Ilidža,52,8,2,centralno,1,1,1,0,208000
Ilidža,50.98,5,2,plin,1,1,1,0,203920
Sarajevo - Stari Grad,50,prizemlje,četverosoban,struja,0,0,0,2,200000
Sarajevo - Centar,50,prizemlje,3,centralno,0,1,0,2,200000
Ilidža,45,1,2,centralno,1,1,1,0,180000
Sarajevo - Novo Sarajevo,45,7,1.5,centralno,1,1,0,2,180000
Sarajevo - Centar,40,suteren,1,centralno,0,0,0,0,160000
Ilidža,40,2,2,centralno,1,1,1,0,160000
Sarajevo - Centar,52.26,1,2,centralno,1,1,1,0,209000
Sarajevo - Novo Sarajevo,45,2,1.5,centralno,1,1,0,0,179899
Trnovo,38.54,suteren,2,struja,1,0,1,0,154000
Sarajevo - Centar,62.34,2,3,centralno,1,1,1,0,249000
Sarajevo - Centar,94.71,3,četverosoban,centralno,1,1,1,0,378000
Sarajevo - Centar,68,2,3,centralno,0,1,1,0,271120
Ilidža,54,1,3,plin,1,1,1,0,215240
Sarajevo - Centar,65,5,3,struja,0,1,0,2,259000
Sarajevo - Centar,65,5,3,struja,0,0,0,2,259000
Sarajevo - Centar,62.92,1,3,centralno,1,1,1,0,250000
Sarajevo - Novo Sarajevo,65,visoko,3,centralno,1,1,0,0,258000
Sarajevo - Centar,97,2,3,centralno,0,1,0,2,385000
Sarajevo - Novo Sarajevo,58,2,2,plin,0,1,0,2,230000
Sarajevo - Centar,96,prizemlje,3,centralno,0,1,0,1,380000
Ilidža,42,visoko,1,centralno,1,0,0,2,166000
Ilidža,101,5,3,centralno,1,1,1,2,399000
Sarajevo - Centar,66.6,2,3,centralno,0,1,0,1,263000
Sarajevo - Novo Sarajevo,53,3,2,plin,0,1,0,2,209000
Sarajevo - Centar,100,2,3,struja,0,1,0,1,394000
Sarajevo - Novi Grad,47,3,1.5,plin,0,1,0,2,185000
Sarajevo - Novo Sarajevo,47,visoko,2,struja,0,1,0,0,185000
Sarajevo - Centar,61,prizemlje,2,centralno,0,1,0,2,240000
